,STATEFP,COUNTYFP,ALAND,AWATER
215,39,117,1051881046,2819351
216,46,037,2663788635,162128301
217,48,463,4019455749,17385902
218,31,143,1135309851,5947393
219,48,091,1449129706,39797957
220,48,171,2740719114,9012764
221,26,073,1483282619,12948097
222,39,075,1094405866,3695230
223,02,195,7512557785,2385954337
224,31,167,1107500701,8789497
225,51,630,27067169,177679
226,38,003,3863107416,56591280
227,38,039,1835826857,19759408
228,38,045,2967974275,12815403
229,26,109,2704053271,761798741
230,42,117,2936458654,8267710
231,05,053,1636384325,2896901
232,48,189,2602109438,246678
233,31,069,4417083921,65860691
234,29,225,1534730255,3110547
235,48,193,2165008734,1238628
236,29,175,1250217892,13254191
237,38,091,1844613572,8424876
238,51,530,16674747,219580
239,29,215,3049103790,5071079
240,17,073,2131558653,6855644
241,20,047,1610699246,206413
242,38,043,3499517648,211715385
243,39,169,1437096032,5046259
244,48,383,3044049119,1792716
245,13,065,2110829174,23303279
246,19,185,1361013817,4274254
247,26,141,1706069997,4957327101
248,31,181,1489017963,337241
249,36,073,1013366843,1103741896
250,35,057,8664074443,2303485
251,02,164,61893966490,25992281749
252,13,173,509026287,8423356
253,19,103,1587640020,26086669
254,19,107,1500056540,1944346
255,19,175,1097235806,5575853
256,18,179,953341278,5596377
257,27,067,2065234175,168250932
258,28,161,1209914664,72140595
259,31,139,1484707278,3481943
260,37,135,1029604965,8874993
261,39,033,1040619651,2359514
262,47,033,687766536,494100
263,48,069,2316600393,12557414
264,48,305,2309924850,4169718
265,56,025,13831895231,91002382
266,47,053,1561102692,2345196
267,48,507,3360268880,11208707
268,48,221,1089617912,41788074
269,51,735,39837347,163456081
270,72,153,175371916,1625259
271,20,031,1623623922,70470779
272,20,165,1858997546,544720
273,26,117,1826792558,39945588
274,38,083,2518459184,86143153
275,48,003,3886850264,957039
276,48,099,2725181907,11798688
277,26,037,1467017476,21098128
278,19,063,1025328489,17196405
279,19,067,1296631084,1942547
280,26,045,1489766542,10958773
281,04,012,11653985203,36563337
282,40,053,2592244802,7021952
283,46,007,3068207885,15044356
284,48,195,2382296648,1548341
285,55,135,1936513127,45278483
286,19,117,1115257644,9852833
287,55,141,2053895941,42053623
288,27,113,1596928760,4332056
289,27,137,16181664972,1584404426
290,39,125,1078561240,6245392
291,46,017,1220933807,42362357
292,39,133,1262370045,43127736
293,39,057,1071281934,6816402
294,39,049,1378944435,29034069
295,37,103,1220836962,6031825
296,39,109,1052855952,7951606
297,20,113,2326543131,6007626
298,19,069,1507301086,1428932
299,08,121,6521806798,15207401
300,19,079,1493784370,1965341
301,20,139,1827253354,37137002
302,05,097,2019823598,52913893
303,51,660,44908390,131080
304,51,678,6473002,67783
305,51,730,58845017,578133
306,06,053,8499616962,1267799938
307,19,013,1465596400,17635538
308,12,027,1649027555,6243548
309,17,011,2250916543,11606402
310,19,021,1488981857,13798139
311,19,025,1475894613,5873827
312,17,051,1855715976,22931323
313,17,047,576061989,781203
314,48,129,2400676101,15901857
315,23,031,2566813705,721723982
316,27,041,1649183865,215620610
317,40,047,2741479095,4075930
318,40,073,2325960388,20612460
319,48,309,2686132776,59883890
320,19,089,1225702839,931478
321,08,095,1781724975,301808
322,20,193,2783425128,288241
323,08,099,4243428664,15345963
324,48,367,2340006541,17127586
325,19,113,1857252376,19631855
326,19,125,1436120673,41487001
327,08,087,3316441514,34663098
328,39,139,1282554026,12637716
329,39,141,1784986619,9938847
330,48,049,2446120250,32375524
331,48,135,2325320265,10377149
332,48,165,3891105257,1262946
333,13,003,887636792,4701677
334,13,019,1174239875,11670811
335,56,041,5391631764,16625817
336,48,435,3765674778,1277066
337,55,101,861398471,1190238442
338,32,029,683680817,1881020
339,72,137,60201692,48075984
340,26,025,1829198158,31268858
341,02,090,18983364355,273047179
342,13,263,1013662793,8766848
343,27,017,2230766990,36187852
344,27,029,2586701770,80451797
345,27,057,2398342769,190327784
346,38,089,3457084716,14024869
347,38,027,1632133949,36114198
348,02,180,59497122355,13774270048
349,18,035,1015542128,9857919
350,20,145,1953531648,992041
351,19,029,1461422455,1787165
352,29,229,1765780149,3533323
353,48,269,2359148814,6398044
354,18,141,1185918569,9064521
355,19,047,1849742896,2194271
356,39,103,1091406482,4198456
357,19,051,1300661911,6904085
358,39,107,1197723416,28440771
359,29,161,1739898532,6587539
360,51,600,16162729,84155
361,47,109,1457753398,1994997
362,20,107,1538662699,31893232
363,19,033,1471890326,17659667
364,19,041,1469139461,13866648
365,20,169,1865418118,2773261
366,20,199,2366348284,140936
367,20,011,1645861890,9377600
368,26,057,1472098936,8369164
369,48,121,2275564887,192448040
370,19,195,1036314923,4709127
371,26,067,1479707916,22593308
372,20,205,1477382268,12052249
373,48,127,3441795368,14576536
374,48,325,3432663420,23762580
375,21,165,527283187,6084693
376,26,107,1437746376,41762974
377,27,159,1388950411,18009900
378,55,055,1441239975,68054125
379,26,123,2172732924,59056457
380,26,127,1393655084,1988740920
381,27,065,1351000098,31233444
382,29,117,1378644691,16200765
383,29,121,2075118028,28912942
384,26,039,1441075564,17920099
385,26,093,1463980375,52213955
386,01,111,1503615935,9285419
387,31,087,1838742723,22103381
388,39,019,1022030954,11192656
389,31,085,1846821514,570786
390,23,029,6637392589,1799936763
391,38,017,4571248512,7579105
392,31,123,3687721339,15601312
393,38,031,1645810424,29450853
394,26,015,1432508482,62024197
395,31,141,1745910544,27167484
396,29,137,1677418978,58300656
397,33,007,4647907788,92560510
398,38,095,2653593197,43823568
399,48,363,2467090684,85364144
400,13,149,766640654,13190449
401,41,055,2133151636,19617472
402,02,050,105228817205,12768645652
403,55,111,2153686396,45692629
404,55,081,2333330399,18586826
405,55,085,2885085059,317619984
406,02,130,12579243763,4651750442
407,48,425,482938555,14221311
408,29,039,1228905201,62603497
409,48,437,2305502704,27277988
410,48,359,3886337113,2339716
411,41,021,3120213943,46914717
412,26,035,1461700230,28500463
413,18,017,1067476806,6973611
414,19,177,1255646305,14839918
415,37,049,1830077186,172715012
416,17,171,649861225,4812707
417,26,011,940624056,822316908
418,26,119,1415881033,41352699
419,26,111,1337113497,30578223
420,18,183,869152581,6041913
421,20,141,2311604933,4806274
422,20,167,2295402861,34126776
423,46,003,1834902866,11201379
424,40,093,2473407982,7651203
425,46,011,2051808172,32967600
426,46,115,3894132587,16076444
427,47,043,1268830627,3682667
428,48,019,2048666855,17288356
429,02,230,1123881121,28784118
430,48,023,2246764578,86991034
431,46,059,3720905364,9241424
432,47,077,1346816747,15219341
433,46,099,2089691730,18198496
434,25,003,2400595902,50712902
435,53,005,4402941863,154661532
436,51,540,26533569,47161
437,48,251,1877223473,25002931
438,51,029,1501215438,9911855
439,56,031,5390926634,76129013
440,55,099,3247987660,62099137
441,47,187,1509616958,3007980
442,56,027,6801380675,4969450
443,51,065,743630414,10747025
444,27,099,1842332264,617233
445,27,101,1825063790,38438283
