State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019
WA,"Douglas County, WA","22,054","20,826","1,228",5.6,"63,086"
WA,"Ferry County, WA","2,497","2,218",279,11.2,"47,463"
WA,"Franklin County, WA","42,905","40,166","2,739",6.4,"63,575"
WA,"Garfield County, WA",906,856,50,5.5,"54,555"
WA,"Grant County, WA","47,150","43,951","3,199",6.8,"57,152"
WA,"Grays Harbor County, WA","28,868","26,834","2,034",7,"59,346"
WA,"Island County, WA","35,871","34,065","1,806",5,"72,173"
WA,"Jefferson County, WA","12,835","12,111",724,5.6,"60,556"
WA,"King County, WA","1,288,635","1,255,340","33,295",2.6,"102,338"
WA,"Kitsap County, WA","128,164","122,344","5,820",4.5,"79,268"
WA,"Kittitas County, WA","23,551","22,291","1,260",5.4,"59,172"
WA,"Klickitat County, WA","10,257","9,657",600,5.8,"60,567"
WA,"Lewis County, WA","34,808","32,676","2,132",6.1,"58,525"
WA,"Lincoln County, WA","5,027","4,776",251,5,"60,849"
WA,"Mason County, WA","25,159","23,576","1,583",6.3,"63,689"
WA,"Okanogan County, WA","20,388","19,024","1,364",6.7,"44,777"
WA,"Pacific County, WA","8,516","7,922",594,7,"50,521"
WA,"Pend Oreille County, WA","5,030","4,634",396,7.9,"51,950"
WA,"Pierce County, WA","441,661","419,058","22,603",5.1,"78,779"
WA,"San Juan County, WA","8,630","8,304",326,3.8,"69,113"
WA,"Skagit County, WA","63,098","59,702","3,396",5.4,"67,551"
WA,"Skamania County, WA","5,607","5,306",301,5.4,"69,163"
WA,"Snohomish County, WA","438,741","426,319","12,422",2.8,"89,119"
WA,"Spokane County, WA","254,575","241,263","13,312",5.2,"59,976"
WA,"Stevens County, WA","18,932","17,612","1,320",7,"55,000"
WA,"Thurston County, WA","142,325","135,461","6,864",4.8,"77,890"
WA,"Wahkiakum County, WA","1,371","1,281",90,6.6,"61,123"
WA,"Walla Walla County, WA","30,123","28,656","1,467",4.9,"60,202"
WA,"Whatcom County, WA","115,163","109,443","5,720",5,"68,656"
WA,"Whitman County, WA","24,127","23,082","1,045",4.3,"45,906"
WA,"Yakima County, WA","131,779","122,601","9,178",7,"55,674"
WV,"Barbour County, WV","7,215","6,786",429,5.9,"39,710"
WV,"Berkeley County, WV","59,163","57,053","2,110",3.6,"63,012"
WV,"Boone County, WV","7,400","6,996",404,5.5,"43,697"
WV,"Braxton County, WV","5,251","4,862",389,7.4,"39,651"
WV,"Brooke County, WV","10,007","9,486",521,5.2,"50,900"
WV,"Cabell County, WV","41,525","39,793","1,732",4.2,"42,125"
WV,"Calhoun County, WV","2,566","2,233",333,13,"37,307"
WV,"Clay County, WV","3,155","2,885",270,8.6,"41,923"
WV,"Doddridge County, WV","4,012","3,833",179,4.5,"50,642"
WV,"Fayette County, WV","16,277","15,352",925,5.7,"41,430"
WV,"Gilmer County, WV","2,379","2,218",161,6.8,"40,373"
WV,"Grant County, WV","5,979","5,650",329,5.5,"47,400"
WV,"Greenbrier County, WV","16,029","15,285",744,4.6,"43,564"
WV,"Hampshire County, WV","10,702","10,287",415,3.9,"54,811"
WV,"Hancock County, WV","13,124","12,446",678,5.2,"51,017"
WV,"Hardy County, WV","5,819","5,519",300,5.2,"46,658"
WV,"Harrison County, WV","34,654","33,109","1,545",4.5,"53,909"
WV,"Jackson County, WV","13,389","12,713",676,5,"50,808"
WV,"Jefferson County, WV","30,629","29,674",955,3.1,"75,225"
WV,"Kanawha County, WV","82,765","78,956","3,809",4.6,"48,334"
WV,"Lewis County, WV","6,819","6,395",424,6.2,"46,895"
WV,"Lincoln County, WV","7,230","6,771",459,6.3,"43,198"
WV,"Logan County, WV","11,190","10,526",664,5.9,"38,533"
WV,"McDowell County, WV","4,469","4,060",409,9.2,"29,106"
WV,"Marion County, WV","25,782","24,471","1,311",5.1,"51,300"
WV,"Marshall County, WV","14,189","13,284",905,6.4,"53,145"
WV,"Mason County, WV","10,310","9,695",615,6,"47,753"
WV,"Mercer County, WV","21,023","19,824","1,199",5.7,"41,794"
WV,"Mineral County, WV","12,650","11,927",723,5.7,"49,704"
WV,"Mingo County, WV","6,914","6,445",469,6.8,"34,698"
WV,"Monongalia County, WV","54,894","52,896","1,998",3.6,"55,652"
WV,"Monroe County, WV","6,013","5,750",263,4.4,"44,655"
WV,"Morgan County, WV","8,234","7,913",321,3.9,"50,660"
WV,"Nicholas County, WV","9,493","8,891",602,6.3,"40,023"
WV,"Ohio County, WV","21,242","20,281",961,4.5,"50,390"
WV,"Pendleton County, WV","3,706","3,562",144,3.9,"43,451"
WV,"Pleasants County, WV","2,917","2,717",200,6.9,"54,972"
WV,"Pocahontas County, WV","3,908","3,687",221,5.7,"39,454"
WV,"Preston County, WV","15,593","14,878",715,4.6,"50,821"
WV,"Putnam County, WV","26,996","25,819","1,177",4.4,"66,991"
WV,"Raleigh County, WV","30,572","29,138","1,434",4.7,"45,386"
WV,"Randolph County, WV","12,424","11,685",739,5.9,"46,285"
WV,"Ritchie County, WV","4,414","4,162",252,5.7,"46,131"
WV,"Roane County, WV","5,136","4,643",493,9.6,"41,671"
WV,"Summers County, WV","4,358","4,118",240,5.5,"37,000"
WV,"Taylor County, WV","7,932","7,546",386,4.9,"48,294"
WV,"Tucker County, WV","3,357","3,183",174,5.2,"47,222"
WV,"Tyler County, WV","3,169","2,924",245,7.7,"48,345"
WV,"Upshur County, WV","9,671","9,095",576,6,"45,074"
WV,"Wayne County, WV","15,806","14,950",856,5.4,"42,095"
WV,"Webster County, WV","3,322","3,113",209,6.3,"34,385"
WV,"Wetzel County, WV","6,642","6,160",482,7.3,"46,824"
