State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019
AL,"Autauga County, AL","26,281","25,561",720,2.7,"58,233"
AL,"Baldwin County, AL","97,424","94,713","2,711",2.8,"59,871"
AL,"Barbour County, AL","8,502","8,177",325,3.8,"35,972"
AL,"Bibb County, AL","8,639","8,371",268,3.1,"47,918"
AL,"Blount County, AL","25,196","24,516",680,2.7,"52,902"
AL,"Bullock County, AL","4,785","4,608",177,3.7,"31,906"
AL,"Butler County, AL","9,172","8,832",340,3.7,"39,944"
AL,"Calhoun County, AL","46,082","44,440","1,642",3.6,"47,747"
AL,"Chambers County, AL","15,749","15,287",462,2.9,"42,015"
AL,"Cherokee County, AL","11,726","11,386",340,2.9,"45,982"
AL,"Chilton County, AL","19,841","19,296",545,2.7,"49,692"
AL,"Choctaw County, AL","4,645","4,427",218,4.7,"39,808"
AL,"Clarke County, AL","7,588","7,151",437,5.8,"43,822"
AL,"Clay County, AL","6,068","5,886",182,3,"40,562"
AL,"Cleburne County, AL","5,773","5,590",183,3.2,"51,276"
AL,"Coffee County, AL","21,741","21,108",633,2.9,"57,299"
AL,"Colbert County, AL","23,703","22,811",892,3.8,"46,683"
AL,"Conecuh County, AL","4,499","4,320",179,4,"41,539"
AL,"Coosa County, AL","4,505","4,370",135,3,"42,024"
AL,"Covington County, AL","15,545","15,007",538,3.5,"44,836"
AL,"Crenshaw County, AL","6,436","6,253",183,2.8,"43,309"
AL,"Cullman County, AL","38,541","37,533","1,008",2.6,"50,897"
AL,"Dale County, AL","20,600","19,951",649,3.2,"45,120"
AL,"Dallas County, AL","14,655","13,850",805,5.5,"34,034"
AL,"DeKalb County, AL","31,148","30,270",878,2.8,"44,277"
AL,"Elmore County, AL","37,236","36,257",979,2.6,"62,310"
AL,"Escambia County, AL","14,613","14,095",518,3.5,"42,712"
AL,"Etowah County, AL","42,462","41,026","1,436",3.4,"43,047"
AL,"Fayette County, AL","6,582","6,376",206,3.1,"44,212"
AL,"Franklin County, AL","14,592","14,185",407,2.8,"44,874"
AL,"Geneva County, AL","10,930","10,606",324,3,"43,089"
AL,"Greene County, AL","2,889","2,727",162,5.6,"28,699"
AL,"Hale County, AL","6,076","5,834",242,4,"40,745"
AL,"Henry County, AL","6,882","6,632",250,3.6,"48,597"
AL,"Houston County, AL","46,298","44,892","1,406",3,"50,138"
AL,"Jackson County, AL","23,326","22,550",776,3.3,"44,322"
AL,"Jefferson County, AL","316,802","307,648","9,154",2.9,"54,127"
AL,"Lamar County, AL","5,802","5,621",181,3.1,"42,686"
AL,"Lauderdale County, AL","42,448","41,047","1,401",3.3,"48,188"
AL,"Lawrence County, AL","14,230","13,779",451,3.2,"47,797"
AL,"Lee County, AL","76,375","74,272","2,103",2.8,"54,160"
AL,"Limestone County, AL","44,272","43,081","1,191",2.7,"64,729"
AL,"Lowndes County, AL","3,499","3,296",203,5.8,"33,930"
AL,"Macon County, AL","7,856","7,522",334,4.3,"34,281"
AL,"Madison County, AL","184,941","180,126","4,815",2.6,"68,609"
AL,"Marengo County, AL","7,681","7,409",272,3.5,"38,838"
AL,"Marion County, AL","12,748","12,299",449,3.5,"44,675"
AL,"Marshall County, AL","44,060","42,962","1,098",2.5,"48,913"
AL,"Mobile County, AL","188,741","181,682","7,059",3.7,"49,492"
AL,"Monroe County, AL","7,320","6,966",354,4.8,"40,005"
AL,"Montgomery County, AL","106,077","102,780","3,297",3.1,"52,711"
AL,"Morgan County, AL","58,288","56,777","1,511",2.6,"54,355"
AL,"Perry County, AL","3,381","3,203",178,5.3,"29,572"
AL,"Pickens County, AL","7,904","7,625",279,3.5,"40,249"
AL,"Pike County, AL","15,331","14,825",506,3.3,"41,271"
AL,"Randolph County, AL","9,497","9,204",293,3.1,"42,922"
AL,"Russell County, AL","23,708","23,001",707,3,"43,670"
AL,"St. Clair County, AL","40,698","39,591","1,107",2.7,"65,403"
AL,"Shelby County, AL","116,412","113,842","2,570",2.2,"77,801"
AL,"Sumter County, AL","4,755","4,537",218,4.6,"29,209"
AL,"Talladega County, AL","35,654","34,428","1,226",3.4,"47,719"
AL,"Tallapoosa County, AL","18,452","17,894",558,3,"47,100"
AL,"Tuscaloosa County, AL","104,950","102,096","2,854",2.7,"52,307"
AL,"Walker County, AL","25,148","24,311",837,3.3,"45,991"
AL,"Washington County, AL","6,699","6,384",315,4.7,"48,864"
AL,"Wilcox County, AL","2,706","2,512",194,7.2,"30,998"
AL,"Winston County, AL","10,122","9,785",337,3.3,"40,827"
AK,"Aleutians East Borough, AK","2,560","2,502",58,2.3,"66,923"
AK,"Aleutians West Census Area, AK","3,657","3,544",113,3.1,"84,726"
AK,"Anchorage Borough/municipality, AK","149,118","142,485","6,633",4.4,"82,512"
AK,"Bethel Census Area, AK","7,098","6,283",815,11.5,"48,262"
AK,"Bristol Bay Borough, AK",451,427,24,5.3,"87,950"
AK,"Denali Borough, AK","1,102","1,021",81,7.4,"78,434"
AK,"Dillingham Census Area, AK","1,987","1,847",140,7,"57,436"
AK,"Fairbanks North Star Borough, AK","45,510","43,373","2,137",4.7,"74,076"
AK,"Haines Borough, AK","1,133","1,043",90,7.9,"62,548"
AK,"Hoonah-Angoon Census Area, AK","1,193","1,074",119,10,"53,141"
AK,"Juneau Borough/city, AK","17,302","16,625",677,3.9,"85,419"
AK,"Kenai Peninsula Borough, AK","26,551","24,947","1,604",6,"68,625"
AK,"Ketchikan Gateway Borough, AK","7,022","6,637",385,5.5,"75,706"
AK,"Kodiak Island Borough, AK","5,988","5,695",293,4.9,"79,669"
AK,"Kusilvak Census Area, AK","2,652","2,186",466,17.6,"35,369"
AK,"Lake and Peninsula Borough, AK",710,647,63,8.9,"51,693"
AK,"Matanuska-Susitna Borough, AK","48,361","45,432","2,929",6.1,"75,856"
AK,"Nome Census Area, AK","4,032","3,637",395,9.8,"58,464"
AK,"North Slope Borough, AK","3,561","3,360",201,5.6,"84,784"
AK,"Northwest Arctic Borough, AK","2,908","2,542",366,12.6,"61,660"
AK,"Petersburg Borough, AK","1,414","1,304",110,7.8,"71,296"
AK,"Prince of Wales-Hyder Census Area, AK","2,889","2,631",258,8.9,"50,049"
AK,"Sitka Borough/city, AK","4,419","4,258",161,3.6,"80,660"
AK,"Skagway Municipality, AK",784,715,69,8.8,"74,898"
AK,"Southeast Fairbanks Census Area, AK","2,879","2,652",227,7.9,"69,646"
AK,"Valdez-Cordova Census Area, AK","4,877","4,551",326,6.7,"74,574"
AK,"Wrangell Borough/city, AK","1,034",965,69,6.7,"62,496"
AK,"Yakutat Borough/city, AK",252,235,17,6.7,"61,587"
AK,"Yukon-Koyukuk Census Area, AK","2,445","2,137",308,12.6,"42,063"
AZ,"Apache County, AZ","20,432","18,373","2,059",10.1,"35,386"
AZ,"Cochise County, AZ","50,300","47,381","2,919",5.8,"48,650"
AZ,"Coconino County, AZ","77,107","72,664","4,443",5.8,"58,301"
AZ,"Gila County, AZ","21,410","20,191","1,219",5.7,"45,980"
AZ,"Graham County, AZ","15,427","14,665",762,4.9,"50,685"
AZ,"Greenlee County, AZ","4,482","4,302",180,4,"68,066"
AZ,"La Paz County, AZ","9,283","8,727",556,6,"39,407"
AZ,"Maricopa County, AZ","2,298,810","2,202,716","96,094",4.2,"68,634"
AZ,"Mohave County, AZ","87,211","82,093","5,118",5.9,"49,712"
AZ,"Navajo County, AZ","40,720","37,641","3,079",7.6,"40,676"
AZ,"Pima County, AZ","497,406","474,779","22,627",4.5,"56,150"
AZ,"Pinal County, AZ","189,834","180,277","9,557",5,"62,067"
AZ,"Santa Cruz County, AZ","19,600","17,891","1,709",8.7,"47,779"
AZ,"Yavapai County, AZ","106,514","101,642","4,872",4.6,"54,242"
AZ,"Yuma County, AZ","100,189","83,320","16,869",16.8,"47,024"
AR,"Arkansas County, AR","9,477","9,195",282,3,"52,539"
AR,"Ashley County, AR","7,707","7,293",414,5.4,"47,744"
AR,"Baxter County, AR","16,324","15,674",650,4,"41,950"
AR,"Benton County, AR","139,120","135,482","3,638",2.6,"70,775"
AR,"Boone County, AR","16,064","15,555",509,3.2,"50,083"
AR,"Bradley County, AR","4,480","4,297",183,4.1,"39,982"
AR,"Calhoun County, AR","2,435","2,329",106,4.4,"48,415"
AR,"Carroll County, AR","12,825","12,427",398,3.1,"43,841"
AR,"Chicot County, AR","3,255","3,031",224,6.9,"37,014"
AR,"Clark County, AR","9,700","9,332",368,3.8,"44,105"
AR,"Clay County, AR","5,672","5,397",275,4.8,"40,686"
AR,"Cleburne County, AR","9,229","8,815",414,4.5,"46,214"
AR,"Cleveland County, AR","3,244","3,117",127,3.9,"53,773"
AR,"Columbia County, AR","9,204","8,797",407,4.4,"42,964"
AR,"Conway County, AR","8,298","7,942",356,4.3,"46,924"
AR,"Craighead County, AR","56,193","54,631","1,562",2.8,"47,766"
AR,"Crawford County, AR","26,900","26,011",889,3.3,"44,600"
AR,"Crittenden County, AR","21,242","20,341",901,4.2,"41,976"
AR,"Cross County, AR","7,405","7,095",310,4.2,"45,273"
AR,"Dallas County, AR","2,827","2,697",130,4.6,"41,314"
AR,"Desha County, AR","5,410","5,170",240,4.4,"37,005"
AR,"Drew County, AR","7,833","7,429",404,5.2,"44,162"
AR,"Faulkner County, AR","62,942","61,069","1,873",3,"58,482"
AR,"Franklin County, AR","7,524","7,274",250,3.3,"45,670"
AR,"Fulton County, AR","4,981","4,783",198,4,"32,926"
AR,"Garland County, AR","41,474","39,943","1,531",3.7,"45,786"
AR,"Grant County, AR","8,428","8,162",266,3.2,"58,566"
AR,"Greene County, AR","20,059","19,366",693,3.5,"47,098"
AR,"Hempstead County, AR","9,921","9,545",376,3.8,"40,867"
AR,"Hot Spring County, AR","14,058","13,552",506,3.6,"45,860"
AR,"Howard County, AR","5,689","5,505",184,3.2,"41,427"
AR,"Independence County, AR","16,580","15,924",656,4,"47,903"
AR,"Izard County, AR","4,908","4,641",267,5.4,"40,233"
AR,"Jackson County, AR","5,814","5,437",377,6.5,"38,636"
AR,"Jefferson County, AR","27,664","26,162","1,502",5.4,"40,555"
AR,"Johnson County, AR","10,276","9,810",466,4.5,"40,396"
AR,"Lafayette County, AR","2,458","2,345",113,4.6,"37,164"
AR,"Lawrence County, AR","6,841","6,560",281,4.1,"39,604"
AR,"Lee County, AR","2,823","2,697",126,4.5,"30,421"
AR,"Lincoln County, AR","3,902","3,734",168,4.3,"44,272"
AR,"Little River County, AR","5,529","5,292",237,4.3,"43,257"
AR,"Logan County, AR","8,528","8,160",368,4.3,"42,249"
AR,"Lonoke County, AR","34,268","33,167","1,101",3.2,"62,782"
AR,"Madison County, AR","7,407","7,218",189,2.6,"48,016"
AR,"Marion County, AR","6,666","6,401",265,4,"38,760"
AR,"Miller County, AR","19,743","18,940",803,4.1,"50,905"
AR,"Mississippi County, AR","17,381","16,501",880,5.1,"39,990"
AR,"Monroe County, AR","2,754","2,637",117,4.2,"34,289"
AR,"Montgomery County, AR","2,980","2,842",138,4.6,"39,591"
AR,"Nevada County, AR","3,653","3,510",143,3.9,"36,528"
AR,"Newton County, AR","3,322","3,206",116,3.5,"37,648"
AR,"Ouachita County, AR","9,845","9,342",503,5.1,"46,393"
AR,"Perry County, AR","4,311","4,137",174,4,"50,560"
AR,"Phillips County, AR","6,362","5,986",376,5.9,"31,521"
AR,"Pike County, AR","4,247","4,085",162,3.8,"44,426"
AR,"Poinsett County, AR","10,033","9,688",345,3.4,"40,536"
AR,"Polk County, AR","8,077","7,740",337,4.2,"39,722"
AR,"Pope County, AR","29,061","27,820","1,241",4.3,"47,519"
AR,"Prairie County, AR","3,610","3,456",154,4.3,"46,205"
AR,"Pulaski County, AR","189,623","183,196","6,427",3.4,"52,684"
AR,"Randolph County, AR","7,310","7,029",281,3.8,"42,875"
AR,"St. Francis County, AR","8,191","7,773",418,5.1,"34,389"
AR,"Saline County, AR","59,520","57,862","1,658",2.8,"66,944"
AR,"Scott County, AR","4,330","4,184",146,3.4,"38,065"
AR,"Searcy County, AR","2,907","2,776",131,4.5,"34,712"
AR,"Sebastian County, AR","56,811","54,957","1,854",3.3,"48,945"
AR,"Sevier County, AR","5,526","5,262",264,4.8,"43,493"
AR,"Sharp County, AR","5,762","5,478",284,4.9,"37,591"
AR,"Stone County, AR","4,738","4,515",223,4.7,"36,930"
AR,"Union County, AR","15,794","14,974",820,5.2,"46,602"
AR,"Van Buren County, AR","5,780","5,494",286,4.9,"38,096"
AR,"Washington County, AR","124,929","121,868","3,061",2.5,"52,158"
AR,"White County, AR","33,929","32,420","1,509",4.4,"46,388"
AR,"Woodruff County, AR","2,770","2,626",144,5.2,"36,568"
AR,"Yell County, AR","8,389","8,055",334,4,"44,469"
CA,"Alameda County, CA","841,075","815,889","25,186",3,"107,589"
CA,"Alpine County, CA",541,512,29,5.4,"58,112"
CA,"Amador County, CA","14,801","14,217",584,3.9,"62,640"
CA,"Butte County, CA","97,922","92,858","5,064",5.2,"58,394"
CA,"Calaveras County, CA","21,310","20,485",825,3.9,"68,248"
CA,"Colusa County, CA","10,975","9,549","1,426",13,"59,048"
CA,"Contra Costa County, CA","559,710","542,121","17,589",3.1,"106,555"
CA,"Del Norte County, CA","9,617","9,053",564,5.9,"48,979"
CA,"El Dorado County, CA","92,132","88,833","3,299",3.6,"86,202"
CA,"Fresno County, CA","450,505","417,312","33,193",7.4,"56,926"
CA,"Glenn County, CA","12,985","12,174",811,6.2,"55,682"
CA,"Humboldt County, CA","62,103","59,824","2,279",3.7,"51,134"
CA,"Imperial County, CA","73,633","58,253","15,380",20.9,"48,102"
CA,"Inyo County, CA","8,752","8,437",315,3.6,"59,605"
CA,"Kern County, CA","388,132","357,458","30,674",7.9,"53,245"
CA,"Kings County, CA","57,823","53,185","4,638",8,"57,297"
CA,"Lake County, CA","29,005","27,506","1,499",5.2,"46,897"
CA,"Lassen County, CA","9,714","9,258",456,4.7,"53,613"
CA,"Los Angeles County, CA","5,122,843","4,888,581","234,262",4.6,"72,721"
CA,"Madera County, CA","62,095","57,744","4,351",7,"61,105"
CA,"Marin County, CA","138,563","135,299","3,264",2.4,"112,069"
CA,"Mariposa County, CA","7,621","7,267",354,4.6,"52,760"
CA,"Mendocino County, CA","38,654","37,093","1,561",4,"52,309"
CA,"Merced County, CA","115,761","106,231","9,530",8.2,"59,733"
CA,"Modoc County, CA","3,174","2,945",229,7.2,"45,311"
CA,"Mono County, CA","8,503","8,183",320,3.8,"66,226"
CA,"Monterey County, CA","221,150","207,085","14,065",6.4,"76,509"
CA,"Napa County, CA","73,212","71,082","2,130",2.9,"90,230"
CA,"Nevada County, CA","48,392","46,747","1,645",3.4,"69,550"
CA,"Orange County, CA","1,613,108","1,567,233","45,875",2.8,"95,761"
CA,"Placer County, CA","188,564","182,605","5,959",3.2,"97,688"
CA,"Plumas County, CA","7,877","7,262",615,7.8,"59,376"
CA,"Riverside County, CA","1,105,704","1,058,717","46,987",4.2,"72,905"
CA,"Sacramento County, CA","710,167","683,551","26,616",3.7,"71,891"
CA,"San Benito County, CA","32,258","30,632","1,626",5,"84,209"
CA,"San Bernardino County, CA","965,015","927,370","37,645",3.9,"67,398"
CA,"San Diego County, CA","1,580,059","1,528,282","51,777",3.3,"83,576"
CA,"San Francisco County/city, CA","579,559","566,589","12,970",2.2,"121,795"
CA,"San Joaquin County, CA","326,515","306,904","19,611",6,"68,458"
CA,"San Luis Obispo County, CA","139,591","135,508","4,083",2.9,"76,599"
CA,"San Mateo County, CA","456,317","446,771","9,546",2.1,"135,234"
CA,"Santa Barbara County, CA","222,283","214,113","8,170",3.7,"74,530"
CA,"Santa Clara County, CA","1,048,221","1,021,586","26,635",2.5,"132,444"
CA,"Santa Cruz County, CA","141,102","134,100","7,002",5,"85,770"
CA,"Shasta County, CA","72,827","69,296","3,531",4.8,"61,464"
CA,"Sierra County, CA","1,327","1,255",72,5.4,"55,862"
CA,"Siskiyou County, CA","17,158","16,027","1,131",6.6,"45,954"
CA,"Solano County, CA","208,061","200,065","7,996",3.8,"85,704"
CA,"Sonoma County, CA","257,093","250,036","7,057",2.7,"87,084"
CA,"Stanislaus County, CA","242,458","227,529","14,929",6.2,"62,761"
CA,"Sutter County, CA","45,464","42,066","3,398",7.5,"60,910"
CA,"Tehama County, CA","25,551","24,094","1,457",5.7,"51,672"
CA,"Trinity County, CA","4,643","4,385",258,5.6,"43,881"
CA,"Tulare County, CA","202,150","182,228","19,922",9.9,"56,776"
CA,"Tuolumne County, CA","20,931","19,967",964,4.6,"64,729"
CA,"Ventura County, CA","421,365","405,882","15,483",3.7,"91,446"
CA,"Yolo County, CA","107,931","103,397","4,534",4.2,"70,951"
CA,"Yuba County, CA","29,740","27,893","1,847",6.2,"56,607"
CO,"Adams County, CO","273,351","265,608","7,743",2.8,"75,341"
CO,"Alamosa County, CO","8,489","8,201",288,3.4,"38,213"
CO,"Arapahoe County, CO","364,820","355,291","9,529",2.6,"82,364"
CO,"Archuleta County, CO","6,901","6,692",209,3,"57,604"
CO,"Baca County, CO","2,156","2,121",35,1.6,"38,945"
CO,"Bent County, CO","1,866","1,816",50,2.7,"35,764"
CO,"Boulder County, CO","195,471","191,065","4,406",2.3,"88,341"
CO,"Broomfield County/city, CO","40,475","39,517",958,2.4,"106,892"
CO,"Chaffee County, CO","9,775","9,550",225,2.3,"60,331"
CO,"Cheyenne County, CO","1,138","1,120",18,1.6,"52,337"
CO,"Clear Creek County, CO","6,059","5,915",144,2.4,"79,900"
CO,"Conejos County, CO","4,161","4,016",145,3.5,"40,944"
CO,"Costilla County, CO","1,868","1,797",71,3.8,"34,731"
CO,"Crowley County, CO","1,554","1,491",63,4.1,"38,224"
CO,"Custer County, CO","2,062","2,002",60,2.9,"57,381"
CO,"Delta County, CO","14,334","13,871",463,3.2,"51,525"
CO,"Denver County/city, CO","419,794","408,921","10,873",2.6,"75,456"
CO,"Dolores County, CO","1,146","1,113",33,2.9,"50,232"
CO,"Douglas County, CO","197,399","192,880","4,519",2.3,"123,697"
CO,"Eagle County, CO","36,622","35,826",796,2.2,"89,268"
CO,"Elbert County, CO","15,323","15,002",321,2.1,"101,733"
CO,"El Paso County, CO","340,870","330,086","10,784",3.2,"72,675"
CO,"Fremont County, CO","15,051","14,385",666,4.4,"52,239"
CO,"Garfield County, CO","32,612","31,762",850,2.6,"73,788"
CO,"Gilpin County, CO","3,826","3,741",85,2.2,"74,806"
CO,"Grand County, CO","9,856","9,653",203,2.1,"71,029"
CO,"Gunnison County, CO","11,449","11,212",237,2.1,"60,408"
CO,"Hinsdale County, CO",439,424,15,3.4,"61,391"
CO,"Huerfano County, CO","2,528","2,388",140,5.5,"39,955"
CO,"Jackson County, CO",980,958,22,2.2,"53,577"
CO,"Jefferson County, CO","334,092","325,907","8,185",2.4,"89,696"
CO,"Kiowa County, CO",955,941,14,1.5,"46,901"
CO,"Kit Carson County, CO","4,317","4,248",69,1.6,"42,951"
CO,"Lake County, CO","4,956","4,843",113,2.3,"56,850"
CO,"La Plata County, CO","31,885","31,115",770,2.4,"77,829"
CO,"Larimer County, CO","204,731","200,050","4,681",2.3,"75,332"
CO,"Las Animas County, CO","6,535","6,288",247,3.8,"43,452"
CO,"Lincoln County, CO","2,418","2,364",54,2.2,"43,077"
CO,"Logan County, CO","11,134","10,875",259,2.3,"58,429"
CO,"Mesa County, CO","76,000","73,490","2,510",3.3,"60,249"
CO,"Mineral County, CO",520,508,12,2.3,"63,015"
CO,"Moffat County, CO","7,397","7,155",242,3.3,"63,232"
CO,"Montezuma County, CO","12,858","12,333",525,4.1,"52,641"
CO,"Montrose County, CO","21,767","21,116",651,3,"50,707"
CO,"Morgan County, CO","16,452","16,035",417,2.5,"57,535"
CO,"Otero County, CO","8,305","7,977",328,3.9,"43,723"
CO,"Ouray County, CO","2,437","2,368",69,2.8,"72,836"
CO,"Park County, CO","11,259","10,989",270,2.4,"77,221"
CO,"Phillips County, CO","2,599","2,559",40,1.5,"53,432"
CO,"Pitkin County, CO","11,123","10,786",337,3,"92,820"
CO,"Prowers County, CO","6,334","6,175",159,2.5,"47,051"
CO,"Pueblo County, CO","75,800","72,817","2,983",3.9,"51,075"
CO,"Rio Blanco County, CO","2,988","2,883",105,3.5,"65,960"
CO,"Rio Grande County, CO","5,447","5,230",217,4,"48,496"
CO,"Routt County, CO","16,306","15,965",341,2.1,"87,691"
CO,"Saguache County, CO","3,543","3,405",138,3.9,"37,004"
CO,"San Juan County, CO",556,540,16,2.9,"50,524"
CO,"San Miguel County, CO","5,757","5,601",156,2.7,"77,209"
CO,"Sedgwick County, CO","1,196","1,173",23,1.9,"42,808"
CO,"Summit County, CO","22,952","22,554",398,1.7,"86,570"
CO,"Teller County, CO","12,788","12,409",379,3,"70,599"
CO,"Washington County, CO","2,976","2,920",56,1.9,"53,263"
CO,"Weld County, CO","169,253","165,049","4,204",2.5,"78,160"
CO,"Yuma County, CO","6,114","6,020",94,1.5,"52,841"
CT,"Fairfield County, CT","480,817","463,937","16,880",3.5,"96,966"
CT,"Hartford County, CT","484,727","466,636","18,091",3.7,"75,336"
CT,"Litchfield County, CT","105,105","101,595","3,510",3.3,"81,015"
CT,"Middlesex County, CT","94,108","91,217","2,891",3.1,"81,721"
CT,"New Haven County, CT","463,581","446,134","17,447",3.8,"69,687"
CT,"New London County, CT","137,448","132,673","4,775",3.5,"75,226"
CT,"Tolland County, CT","87,324","84,584","2,740",3.1,"90,181"
CT,"Windham County, CT","64,192","61,700","2,492",3.9,"63,309"
DE,"Kent County, DE","79,120","75,903","3,217",4.1,"58,804"
DE,"New Castle County, DE","300,688","290,044","10,644",3.5,"76,076"
DE,"Sussex County, DE","108,232","104,273","3,959",3.7,"64,839"
FL,"Alachua County, FL","138,972","134,690","4,282",3.1,"49,880"
FL,"Baker County, FL","12,016","11,624",392,3.3,"60,454"
FL,"Bay County, FL","84,487","81,202","3,285",3.9,"58,376"
FL,"Bradford County, FL","10,948","10,577",371,3.4,"47,509"
FL,"Brevard County, FL","283,857","274,329","9,528",3.4,"57,582"
FL,"Broward County, FL","1,041,334","1,008,095","33,239",3.2,"61,429"
FL,"Calhoun County, FL","4,803","4,604",199,4.1,"41,399"
FL,"Charlotte County, FL","71,946","69,158","2,788",3.9,"54,756"
FL,"Citrus County, FL","47,382","44,971","2,411",5.1,"49,762"
FL,"Clay County, FL","107,500","104,069","3,431",3.2,"75,776"
FL,"Collier County, FL","180,558","174,635","5,923",3.3,"76,415"
FL,"Columbia County, FL","29,825","28,802","1,023",3.4,"47,087"
FL,"DeSoto County, FL","14,222","13,694",528,3.7,"41,673"
FL,"Dixie County, FL","5,855","5,623",232,4,"39,793"
FL,"Duval County, FL","487,538","470,643","16,895",3.5,"58,339"
FL,"Escambia County, FL","144,858","139,939","4,919",3.4,"52,822"
FL,"Flagler County, FL","47,747","45,827","1,920",4,"62,831"
FL,"Franklin County, FL","4,665","4,489",176,3.8,"47,504"
FL,"Gadsden County, FL","18,569","17,764",805,4.3,"42,975"
FL,"Gilchrist County, FL","7,303","7,043",260,3.6,"46,171"
FL,"Glades County, FL","5,350","5,128",222,4.1,"45,412"
FL,"Gulf County, FL","5,201","4,943",258,5,"53,228"
FL,"Hamilton County, FL","4,307","4,120",187,4.3,"39,241"
FL,"Hardee County, FL","8,378","7,932",446,5.3,"41,430"
FL,"Hendry County, FL","15,376","14,412",964,6.3,"45,107"
FL,"Hernando County, FL","71,932","68,756","3,176",4.4,"50,705"
FL,"Highlands County, FL","35,813","34,082","1,731",4.8,"45,723"
FL,"Hillsborough County, FL","757,044","732,354","24,690",3.3,"61,133"
FL,"Holmes County, FL","6,947","6,689",258,3.7,"38,874"
FL,"Indian River County, FL","65,635","62,985","2,650",4,"61,173"
FL,"Jackson County, FL","17,106","16,477",629,3.7,"40,543"
FL,"Jefferson County, FL","5,541","5,347",194,3.5,"47,192"
FL,"Lafayette County, FL","2,847","2,760",87,3.1,"45,480"
FL,"Lake County, FL","161,784","156,335","5,449",3.4,"57,660"
FL,"Lee County, FL","349,001","337,412","11,589",3.3,"62,364"
FL,"Leon County, FL","154,954","149,917","5,037",3.3,"55,081"
FL,"Levy County, FL","16,722","16,066",656,3.9,"41,405"
FL,"Liberty County, FL","2,653","2,556",97,3.7,"44,236"
FL,"Madison County, FL","7,464","7,168",296,4,"37,919"
FL,"Manatee County, FL","180,737","174,772","5,965",3.3,"64,151"
FL,"Marion County, FL","139,264","133,676","5,588",4,"49,079"
FL,"Martin County, FL","73,362","70,924","2,438",3.3,"70,806"
FL,"Miami-Dade County, FL","1,371,849","1,336,431","35,418",2.6,"54,991"
FL,"Monroe County, FL","46,557","45,559",998,2.1,"67,528"
FL,"Nassau County, FL","41,854","40,563","1,291",3.1,"72,818"
FL,"Okaloosa County, FL","96,675","93,926","2,749",2.8,"63,520"
FL,"Okeechobee County, FL","17,753","17,105",648,3.7,"45,225"
FL,"Orange County, FL","759,379","735,997","23,382",3.1,"63,133"
FL,"Osceola County, FL","185,694","179,268","6,426",3.5,"52,270"
FL,"Palm Beach County, FL","735,111","709,883","25,228",3.4,"66,621"
FL,"Pasco County, FL","240,250","231,402","8,848",3.7,"55,745"
FL,"Pinellas County, FL","486,091","470,700","15,391",3.2,"56,708"
FL,"Polk County, FL","306,541","294,499","12,042",3.9,"51,817"
FL,"Putnam County, FL","26,581","25,376","1,205",4.5,"41,986"
FL,"St. Johns County, FL","135,761","131,995","3,766",2.8,"90,839"
FL,"St. Lucie County, FL","146,578","140,515","6,063",4.1,"57,292"
FL,"Santa Rosa County, FL","83,819","81,208","2,611",3.1,"66,139"
FL,"Sarasota County, FL","189,004","182,804","6,200",3.3,"66,258"
FL,"Seminole County, FL","254,124","246,300","7,824",3.1,"69,954"
FL,"Sumter County, FL","32,638","31,030","1,608",4.9,"63,464"
FL,"Suwannee County, FL","18,288","17,639",649,3.5,"49,453"
FL,"Taylor County, FL","8,231","7,920",311,3.8,"42,987"
FL,"Union County, FL","4,609","4,464",145,3.1,"50,893"
FL,"Volusia County, FL","254,049","244,818","9,231",3.6,"53,554"
FL,"Wakulla County, FL","15,402","14,933",469,3,"58,640"
FL,"Walton County, FL","32,117","31,156",961,3,"62,600"
FL,"Washington County, FL","9,709","9,355",354,3.6,"42,518"
GA,"Appling County, GA","9,275","8,904",371,4,"43,821"
GA,"Atkinson County, GA","4,562","4,415",147,3.2,"38,581"
GA,"Bacon County, GA","4,957","4,774",183,3.7,"41,807"
GA,"Baker County, GA","1,159","1,104",55,4.7,"39,515"
GA,"Baldwin County, GA","17,711","16,941",770,4.3,"44,429"
GA,"Banks County, GA","9,799","9,525",274,2.8,"53,481"
GA,"Barrow County, GA","41,298","40,096","1,202",2.9,"68,924"
GA,"Bartow County, GA","50,824","49,094","1,730",3.4,"60,254"
GA,"Ben Hill County, GA","5,458","5,154",304,5.6,"35,931"
GA,"Berrien County, GA","7,593","7,281",312,4.1,"42,058"
GA,"Bibb County, GA","67,991","65,238","2,753",4,"43,066"
GA,"Bleckley County, GA","4,595","4,355",240,5.2,"48,115"
GA,"Brantley County, GA","7,250","6,943",307,4.2,"44,680"
GA,"Brooks County, GA","6,879","6,639",240,3.5,"39,554"
GA,"Bryan County, GA","19,193","18,615",578,3,"79,296"
GA,"Bulloch County, GA","37,544","36,063","1,481",3.9,"48,788"
GA,"Burke County, GA","9,132","8,650",482,5.3,"42,632"
GA,"Butts County, GA","10,989","10,610",379,3.4,"47,410"
GA,"Calhoun County, GA","2,264","2,181",83,3.7,"34,960"
GA,"Camden County, GA","21,271","20,484",787,3.7,"58,552"
GA,"Candler County, GA","5,619","5,449",170,3,"41,665"
GA,"Carroll County, GA","55,720","53,731","1,989",3.6,"59,193"
